Species2_eBird,Family2,Order2,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Migration,Primary.Lifestyle,mu.beak.l.c,mu.beak.l.n,mu.beak.w,mu.beak.d,mu.tarsus.l,mu.hwi,mu.tail.l
Abeillia abeillei,Trochilidae,Caprimulgiformes,2.7,Forest,2,Herbivore,Nectarivore,1,Aerial,13,9.5,1.19,1.69,6.32,66.32499999999999,29.4
Abroscopus albogularis,Scotocercidae,Passeriformes,4.8,Forest,1,Carnivore,Invertivore,1,Insessorial,8.99,4.9,2.7199999999999998,2.32,15.29,13.287500000000001,38.7
Abroscopus schisticeps,Scotocercidae,Passeriformes,4.7,Forest,1,Carnivore,Invertivore,1,Insessorial,8.975000000000001,4.6875,2.6,2.3125,16.5125,16.1125,47.5
Abroscopus superciliaris,Scotocercidae,Passeriformes,6.5,Shrubland,1,Carnivore,Invertivore,1,Insessorial,12.31,7.3875,3.1100000000000003,2.82,16.590000000000003,12.7,42.4
Aburria aburri,Cracidae,Galliformes,1405.1,Forest,1,Herbivore,Frugivore,1,Insessorial,37.108333333333334,16.6125,9.28125,10.225,65.80833333333334,15.68,290.3875
Acanthagenys rufogularis,Meliphagidae,Passeriformes,47.8,Shrubland,2,Omnivore,Omnivore,1,Insessorial,25.69705882352941,11.287500000000001,3.685294117647059,4.9941176470588236,25.1125,23.2,111.39117647058823
Acanthidops bairdi,Thraupidae,Passeriformes,16,Forest,1,Omnivore,Invertivore,2,Insessorial,16.21666666666667,10.8,3.875,5.3,20.9125,17.025,52.1125
Acanthis cabaret,Fringillidae,Passeriformes,12,Forest,1,Herbivore,Granivore,2,Generalist,10.7,7.8,4.8,5.8,14.2,33.1,58
Acanthis flammea,Fringillidae,Passeriformes,13,Forest,1,Herbivore,Granivore,2,Generalist,11.4,7.8,4.5,6.5,15.6,31.1,58.7
Acanthis hornemanni,Fringillidae,Passeriformes,13.9,Forest,1,Herbivore,Granivore,2,Generalist,12.1,7.8,5.4,7,16.8,33.1,65
Acanthisitta chloris,Acanthisittidae,Passeriformes,6.9,Forest,1,Carnivore,Invertivore,1,Insessorial,12.108333333333334,6.3125,2.3916666666666666,2.2083333333333335,18.008333333333333,13.912500000000001,23.5
Acanthiza apicalis,Acanthizidae,Passeriformes,7.6,Woodland,2,Carnivore,Invertivore,1,Insessorial,11.005263157894737,5.9125,2.185,2.615,18.990000000000002,14.1875,44.1
Acanthiza chrysorrhoa,Acanthizidae,Passeriformes,9.3,Woodland,2,Carnivore,Invertivore,1,Terrestrial,11.7,6.225,2.1192307692307693,2.5,18.007142857142856,15.587499999999999,37.892307692307696
Acanthiza cinerea,Acanthizidae,Passeriformes,7.6,Forest,1,Carnivore,Invertivore,1,Insessorial,10.59375,5.975,2.59375,2.775,19.2125,19.2125,32.41875
Acanthiza ewingii,Acanthizidae,Passeriformes,6.9,Forest,2,Carnivore,Invertivore,1,Insessorial,10.704545454545453,5.5875,1.9208333333333334,2.4875,21.485714285714288,16.3,46.40833333333333
Acanthiza inornata,Acanthizidae,Passeriformes,7,Woodland,2,Carnivore,Invertivore,1,Insessorial,11.3,5.9,2.286363636363636,2.7045454545454546,17.28125,12.8125,36.375
Acanthiza iredalei,Acanthizidae,Passeriformes,6,Shrubland,2,Carnivore,Invertivore,1,Generalist,9.176923076923076,4.824999999999999,1.9807692307692308,2.3115384615384613,17.38125,15.325,39.28461538461538
Acanthiza katherina,Acanthizidae,Passeriformes,7.2,Forest,1,Carnivore,Invertivore,1,Insessorial,11.5,5.775,2.392857142857143,2.6142857142857143,18.1,17.6,41.08571428571429
Acanthiza lineata,Acanthizidae,Passeriformes,6.9,Forest,2,Omnivore,Invertivore,1,Insessorial,9.889473684210525,4.9875,2.086842105263158,2.786842105263158,17.08076923076923,19.1125,37.92368421052632
Acanthiza murina,Acanthizidae,Passeriformes,8.4,Forest,1,Carnivore,Invertivore,1,Insessorial,11.4,6.02,2.416666666666667,2.9166666666666665,17.89,22.509999999999998,35
Acanthiza nana,Acanthizidae,Passeriformes,6.2,Shrubland,2,Carnivore,Invertivore,1,Insessorial,10.013157894736842,5.2,2.0973684210526313,2.7,17.196153846153848,17.8125,36.8078947368421
Acanthiza pusilla,Acanthizidae,Passeriformes,7.6,Shrubland,2,Carnivore,Invertivore,1,Insessorial,11.205882352941176,5.3,2.0764705882352943,2.5911764705882354,18.705,14.600000000000001,43.3875
Acanthiza reguloides,Acanthizidae,Passeriformes,7.7,Forest,2,Carnivore,Invertivore,1,Insessorial,11.01875,5.9875,2.178125,2.59375,16.696153846153848,13.9875,38.91875
Acanthiza robustirostris,Acanthizidae,Passeriformes,6.1,Woodland,2,Carnivore,Invertivore,2,Insessorial,9.895,5.1,2.315,2.715,19.09285714285714,15.175,40.2
Acanthiza uropygialis,Acanthizidae,Passeriformes,6.4,Woodland,2,Carnivore,Invertivore,1,Insessorial,10.183333333333334,5.324999999999999,2.025,2.3041666666666663,18.007142857142856,14.9875,38.31666666666666
Acanthorhynchus superciliosus,Meliphagidae,Passeriformes,9.7,Shrubland,2,Herbivore,Nectarivore,1,Insessorial,23.57692307692308,15.5,2.276923076923077,2.7884615384615383,19.9,15.8875,54.323076923076925
Acanthorhynchus tenuirostris,Meliphagidae,Passeriformes,10.4,Forest,2,Omnivore,Nectarivore,1,Insessorial,26.7875,18.9125,2.28,2.7175000000000002,18.018181818181816,20.5875,57.1125
Acanthornis magna,Acanthizidae,Passeriformes,10.2,Forest,1,Carnivore,Invertivore,1,Generalist,15.215,8.3875,2.3,2.9,21.90833333333333,16.6125,47.975
Accipiter albogularis,Accipitridae,Accipitriformes,248.8,Forest,1,Carnivore,Vertivore,2,Insessorial,27.7,17.775,10.58,14.719999999999999,62.010000000000005,33.8875,169
Accipiter badius,Accipitridae,Accipitriformes,131.2,Shrubland,2,Carnivore,Vertivore,3,Insessorial,20.61,12.09375,8.775,11.605,43.004999999999995,32.91875,140.6
Accipiter bicolor,Accipitridae,Accipitriformes,287.5,Woodland,2,Carnivore,Vertivore,2,Generalist,25.013636363636365,13.7,8.594999999999999,12.713636363636363,58.095454545454544,24.594444444444445,186.3090909090909
Accipiter brachyurus,Accipitridae,Accipitriformes,142,Forest,1,Carnivore,Vertivore,2,Insessorial,22.5125,13.9875,8.8875,11.912500000000001,61.225,31.7,140.8125
Accipiter brevipes,Accipitridae,Accipitriformes,186.5,Forest,1,Carnivore,Vertivore,3,Generalist,21.087500000000002,12.1125,8.712499999999999,11.1125,46.3875,40.212500000000006,153.5
Accipiter butleri,Accipitridae,Accipitriformes,122,Forest,1,Carnivore,Vertivore,1,Insessorial,20,11.9,6.6,12,48.7,25.8,127
Accipiter castanilius,Accipitridae,Accipitriformes,157.5,Forest,1,Carnivore,Vertivore,2,Insessorial,20.4875,11.5125,8.287500000000001,10.912500000000001,52.587500000000006,24.0125,135.4
Accipiter cirrocephalus,Accipitridae,Accipitriformes,165.7,Forest,1,Carnivore,Vertivore,2,Generalist,19.22,10.6,7.71,9.59,60.32,37.787499999999994,155.4
Accipiter collaris,Accipitridae,Accipitriformes,97.8,Forest,1,Carnivore,Vertivore,2,Insessorial,19.99285714285714,11.208333333333332,8.614285714285714,11.014285714285714,43.57857142857143,30.025,125
Accipiter cooperii,Accipitridae,Accipitriformes,429.7,Woodland,2,Carnivore,Vertivore,3,Aerial,25.39,13.9,8.59,13.18,62.019999999999996,32.287499999999994,188.4
Accipiter erythrauchen,Accipitridae,Accipitriformes,156,Forest,1,Carnivore,Vertivore,1,Generalist,21.1,12.2,8.6,11.212499999999999,59.4875,30.8125,154.775
Accipiter erythropus,Accipitridae,Accipitriformes,111.2,Forest,1,Carnivore,Vertivore,1,Insessorial,17.58,9.712499999999999,7.1899999999999995,9.58,42.980000000000004,27.1,104.4
