Meta-archipelago,Archipelago_group,Site,Area,DistanceM,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,5033,,N,HONDURAS,"HONDURAS, MORAZAN",2600FT,,F,NA,56.44,43.68,12.76,22.60807938,13.84,39.95,5.3,4.11,6.75,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,5034,,N,HONDURAS,"HONDURAS, MORAZAN",,,F,NA,57.53,47.36,10.17,17.67773336,13.29,37.68,5.3,3.74,6.43,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,1573,,N,HONDURAS,"HONDURAS, MORAZAN",2600FT,,M,NA,59.49,45.75,13.74,23.09631871,13.29,36.75,4.63,4.21,6.85,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,1559,,N,HONDURAS,"HONDURAS, MORAZAN",2600FT,,F,NA,57.79,46.74,11.05,19.12095518,12.35,34.64,5.35,5,6.67,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,5032,,N,HONDURAS,"HONDURAS, MORAZAN",2600FT,,F,NA,61.05,48.12,12.93,21.17936118,13.51,35.55,5.21,3.76,6.87,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,5037,,N,MEXICO,"MEXICO, DISTRITO FEDERAL",,,M,NA,65.81,52.43,13.38,20.33125665,13.48,41.41,3.71,3.76,6.89,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,5036,,N,MEXICO,"MEXICO, OAXACA",,,M,NA,60.44,45.31,15.13,25.03309067,13.07,38.68,4.12,4.02,6.74,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,elegantissima,5035,,N,MEXICO,"MEXICO, OAXACA",2100M,,F,NA,64.57,44.43,20.14,31.19095555,12.59,37.23,5.14,3.88,7.02,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,vincens,36063,,N,MEXICO,"MEXICO, CHIAPAS",,,M,NA,65.4,48.53,16.87,25.79510703,13.55,42.93,4.98,3.98,6.39,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,vincens,36064,,N,MEXICO,"MEXICO, CHIAPAS",,,F,NA,62.97,49.6,13.37,21.23233286,13.62,39.71,5.76,3.89,7.21,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,elegantissima,,1755,,N,NA,NA,,,M,NA,62.71,46.93,15.78,25.16345081,NA,36.55,5.08,4.17,6.71,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5047,,N,MEXICO,"MEXICO, OAXACA",,,F,NA,76.27,57.97,18.3,23.99370657,20.02,46.97,4.46,5.74,8.61,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5046,,N,MEXICO,"MEXICO, OAXACA",,,F,NA,77.94,58.67,19.27,24.72414678,16.74,47.34,4.17,5.59,10.04,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5041,,N,MEXICO,"MEXICO, OAXACA",,,F,NA,74.92,57.49,17.43,23.2648158,17.37,46.61,4.67,6.43,10.23,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5040,,N,MEXICO,"MEXICO, OAXACA",,,F,NA,71.1,50.79,20.31,28.56540084,17.33,41.14,4.93,5.59,9.29,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5042,,N,MEXICO,"MEXICO, OAXACA",500M,,F,NA,76.64,57.97,18.67,24.36064718,17.82,45.37,5.45,6.24,9.85,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5039,,N,MEXICO,"MEXICO, OAXACA",,,F,NA,74.44,55.87,18.57,24.94626545,17.23,43.16,5.14,6.27,10.12,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5044,,N,MEXICO,"MEXICO, OAXACA",500M,,F,NA,74.07,54.2,19.87,26.82597543,17.9,44.22,4.84,6.38,9.14,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,occipitalis,5045,,N,MEXICO,"MEXICO, OAXACA",,,F,NA,77.46,59.12,18.34,23.67673638,18.05,45.12,4.72,5.98,10.13,Brynn
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,,36069,,N,MEXICO,"MEXICO, CHIAPAS",,,F,NA,72.09,58.68,13.41,18.60174782,17.57,45.23,6.38,5.85,9.19,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,,36068,,N,MEXICO,"MEXICO, CHIAPAS",,,M,NA,76.09,59.37,16.72,21.97397818,16.71,45.33,6.03,5.84,9.39,Mia
Caribbean,Mainland,Central and northernmost South America,10000000,0,Chlorophonia,occipitalis,,5043,,N,MEXICO,"MEXICO, OAXACA",,,F,NA,76.57,54.32,22.25,29.05837795,15.99,49.49,5.12,6.05,10.26,Mia
Caribbean,Continental island,Colon - Bocas del Toro,98,1.48,Coereba,flaveola,mexicana,46358,8/2/2008,Y,PANAMA,PANAMA: PROV. BOCAS DEL TORO; ISLA COLON; SMITHSONIAN TROPICAL RESEARCH INSTITUTE STATION,NA,Netted in scrubby grassy field,F,9.3,57.5,46.13,11.37,19.77391304,13.01,38.08,3.42,4,14.14,Mia
Caribbean,Continental island,Colon - Bocas del Toro,98,1.48,Coereba,flaveola,mexicana,46286,8/4/2007,Y,PANAMA,PANAMA: PROV. BOCAS DEL TORO; ISLA COLON; SMITHSONIAN TROPICAL RESEARCH INSTITUTE STATION,NA,"netted, scrub/mangrove edge",M,9.6,54.82,46.77,8.05,14.68442174,13.91,32.53,3.08,3.32,13.33,Mia
Caribbean,Continental island,Colon - Bocas del Toro,98,1.48,Coereba,flaveola,mexicana,46280,9/4/2007,Y,PANAMA,PANAMA: PROV. BOCAS DEL TORO; ISLA COLON; SMITHSONIAN TROPICAL RESEARCH INSTITUTE STATION,NA,"netted, scrub/mangrove edge",M,9.9,55.77,52.61,3.16,5.666128743,12.89,30.84,3.04,3.53,14.23,Mia
Caribbean,Continental island,Colon - Bocas del Toro,98,1.48,Coereba,flaveola,mexicana,56058,,N,PANAMA,Bocas Del Toro,,,,NA,56.67,48.79,7.88,13.90506441,15.94,35.01,2.74,3.54,13.41,Brynn
Caribbean,Continental island,Cozumel,647.33,17.46,Coereba,flaveola,caboti,9223,,N,MEXICO,Cozumel,,,,NA,61.27,53.34,7.93,12.94271258,16.9,44.12,3.35,4.36,14.16,Mia
Caribbean,Continental island,Cozumel,647.33,17.46,Coereba,flaveola,caboti,9226,,N,MEXICO,Cozumel,,,,NA,58.08,51.02,7.06,12.15564738,15.61,36.61,3.69,NA,13.99,Mia
Caribbean,Continental island,Cozumel,647.33,17.46,Coereba,flaveola,caboti,9225,,N,MEXICO,Cozumel,,,,NA,56.5,50.76,5.74,10.15929204,16.73,40.48,3.19,NA,13.32,Mia
Caribbean,Continental island,Cozumel,647.33,17.46,Coereba,flaveola,caboti,9224,,N,MEXICO,Cozumel,,,,NA,54.15,46.33,7.82,14.44136657,16.36,37.89,3.36,NA,13.73,Mia
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,46435,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,10.45,64.74,54.72,10.02,15.47729379,18.27,35.48,3.23,3.57,12.51,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,46439,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,10.65,63.7,53.67,10.03,15.74568289,17.67,35.65,3.01,3.61,12.32,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,45883,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,11,57.86,47.87,9.99,17.26581403,15.6,38.71,3.32,3.8,12.22,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,46023,,Y,TRINIDAD & TOBAGO,TOBAGO,,,,10.1,51.94,41.08,10.86,20.90874085,16.6,34.43,3.04,3.77,11.46,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,45995,,Y,TRINIDAD & TOBAGO,TOBAGO,,,,9.9,57.59,49.38,8.21,14.25594721,17.36,35.14,3.22,3.67,12.06,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,45892,,Y,TRINIDAD & TOBAGO,TOBAGO,,,,10.1,58.43,51.08,7.35,12.57915454,16.66,42.87,3.11,3.82,12.47,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,45902,,Y,TRINIDAD & TOBAGO,TOBAGO,,,,9.45,57.15,45.4,11.75,20.55993001,17.19,38.48,3.41,3.87,12.78,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,46008,,Y,TRINIDAD & TOBAGO,TOBAGO,,,,10.2,56.25,43.56,12.69,22.56,17.95,41.52,3.29,3.52,12.36,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,46436,,Y,TRINIDAD & TOBAGO,CANOE BAY FOREST,,,,11.1,65.61,52.88,12.73,19.4025301,17.89,43.59,3.13,3.73,12.55,Brynn
Caribbean,Continental island,Tobago,300,119.21,Coereba,flaveola,luteola,46390,,Y,TRINIDAD & TOBAGO,TOBAGO FOREST RESERVE,,,,10.7,55.02,46.09,8.93,16.23046165,16.59,40.23,3.15,3.59,12.21,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,45916,,Y,TRINIDAD & TOBAGO,2.7 KM SW MORNE BLEU,,,,10.3,58.35,49.55,8.8,15.08140531,16.32,36.21,3.17,3.68,11.66,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,45919,,Y,TRINIDAD & TOBAGO,2.7 KM SW MORNE BLEU,,,,10.4,56.55,48.85,7.7,13.61626879,16.43,36.4,3.17,3.32,12.5,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,46026,,Y,TRINIDAD & TOBAGO,2.7 KM SW MORNE BLEU,,,,10.6,56.59,49.08,7.51,13.27089592,16.75,33.18,3.1,3.49,12.42,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,46028,,Y,TRINIDAD & TOBAGO,2.7 KM SW MORNE BLEU,,,,11.4,67.8,52.3,15.5,22.86135693,18.02,47.32,3.17,3.97,13.3,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,45927,,Y,TRINIDAD & TOBAGO,"ARIPO VALLEY, L'ORANGE ESTATE",,,,10.2,55.51,45.63,9.88,17.79859485,15.66,38.38,3.07,3.45,12.94,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,10819,,N,TRINIDAD & TOBAGO,ARIMA VALLEY,,,,,51.05,43.36,7.69,15.06366308,16.15,31.66,3.12,3.44,11.78,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,42637,,Y,TRINIDAD & TOBAGO,TRINIDAD,,,,10.1,60.55,50.52,10.03,16.56482246,16.79,31.89,3.15,3.76,13,Brynn
Caribbean,Continental island,Trinidad,5009,19.84,Coereba,flaveola,luteola,42586,,Y,TRINIDAD & TOBAGO,TRINIDAD,,,,9.3,51.53,43.19,8.34,16.18474675,16.82,32.45,3.12,3.2,12.87,Brynn
